nombredd,horas_mujeres,horas_hombres,n_mujeres,n_hombres,brecha
AMAZONAS,12.79203539823009,10.590214067278284,113,109,2.2018213309518053
ANCASH,16.15686274509804,10.74614197530864,255,216,5.410720769789398
APURIMAC,13.267857142857142,10.007843137254902,84,85,3.2600140056022404
AREQUIPA,15.745974235104669,6.180407801418439,414,376,9.565566433686229
AYACUCHO,12.378612716763005,5.732613908872901,173,139,6.645998807890104
CAJAMARCA,19.125128205128203,14.25423728813559,325,295,4.870890916992613
CALLAO,11.068930041152262,4.953921568627451,162,170,6.115008472524811
CUSCO,13.459119496855346,9.106382978723405,265,235,4.352736518131941
HUANCAVELICA,11.831439393939394,11.397619047619049,88,70,0.4338203463203456
HUANUCO,14.165333333333335,9.012037037037038,250,180,5.153296296296297
ICA,12.577625570776256,6.119170984455959,219,193,6.458454586320297
JUNIN,12.104501607717042,7.793123543123542,311,286,4.3113780645935
LA LIBERTAD,14.771604938271604,7.066308243727599,405,372,7.705296694544005
LAMBAYEQUE,12.571522309711288,7.985119047619048,254,224,4.586403262092239
LIMA,11.903821885703985,5.2249848392965434,1849,1649,6.678837046407442
LORETO,14.641666666666664,8.636926889714992,280,269,6.004739776951672
MADRE DE DIOS,16.80637254901961,7.190909090909092,68,55,9.615463458110519
MOQUEGUA,9.744897959183673,4.465909090909091,49,44,5.278988868274582
PASCO,12.8203125,5.852657004830918,64,69,6.967655495169082
PIURA,11.860189573459715,7.578178694158074,422,388,4.282010879301641
PUNO,13.780459770114941,8.176791277258566,290,214,5.603668492856375
SAN MARTIN,13.030817610062893,8.068093385214008,265,257,4.962724224848886
TACNA,12.351405622489958,5.741666666666668,83,60,6.60973895582329
TUMBES,11.075757575757578,4.921768707482993,55,49,6.153988868274585
UCAYALI,9.944444444444445,5.426020408163265,216,196,4.518424036281179
