nombredd,horas_mujeres_total,horas_hombres_total,horas_mujeres_cuidado
AMAZONAS,40.1283185840708,11.012232415902142,9.221238938053098
ANCASH,40.260784313725495,13.079475308641976,14.475816993464054
APURIMAC,38.688492063492056,12.70588235294118,10.444444444444445
AREQUIPA,38.85466988727858,14.41090425531915,16.747584541062803
AYACUCHO,35.318882466281316,12.896882494004796,11.54238921001927
CAJAMARCA,37.581538461538464,8.405649717514125,10.281025641025641
CALLAO,29.739711934156382,13.197058823529412,11.102880658436213
CUSCO,40.02955974842767,16.219148936170214,13.181761006289308
HUANCAVELICA,35.75189393939394,14.688095238095238,6.475378787878788
HUANUCO,39.35133333333333,16.197222222222223,15.625333333333332
ICA,36.726027397260275,12.408462867012089,13.710806697108069
JUNIN,31.30278670953912,10.72960372960373,9.265809217577704
LA LIBERTAD,38.80823045267489,11.772401433691755,13.44897119341564
LAMBAYEQUE,39.731627296587924,14.76488095238095,12.021653543307087
LIMA,33.96069947719488,12.856882959369315,12.734000360555255
LORETO,35.17857142857143,12.842007434944238,14.128571428571428
MADRE DE DIOS,38.04166666666667,10.842424242424242,18.40686274509804
MOQUEGUA,31.88775510204082,14.454545454545451,11.057823129251702
PASCO,33.5390625,7.217391304347827,11.356770833333334
PIURA,40.360189573459714,11.055841924398626,12.336887835703001
PUNO,37.24367816091954,15.24766355140187,12.602298850574714
SAN MARTIN,34.87672955974843,12.707522697795072,10.722641509433963
TACNA,42.14056224899599,18.525000000000002,15.108433734939757
TUMBES,30.67272727272727,9.153061224489797,9.703030303030303
UCAYALI,28.293209876543212,10.925170068027214,10.101851851851851
